#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Saureus	100000	4521	4.53	46738	46.74	40434	40.43	3882	3.88	4425	4.42
Ecoli	100000	99322	99.32	0	0.00	0	0.00	0	0.00	678	0.68
Vectors	100000	99268	99.27	58	0.06	1	0.00	343	0.34	330	0.33
Efaecium	100000	98972	98.97	0	0.00	0	0.00	0	0.00	1028	1.03
Sepidermidis	100000	90980	90.98	0	0.00	952	0.95	0	0.00	8068	8.07
EscerechiaPhage	100000	100000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Cperfringens	100000	99398	99.40	0	0.00	0	0.00	0	0.00	602	0.60
Smutans	100000	99185	99.19	0	0.00	0	0.00	0	0.00	815	0.81
Mluteus	100000	99697	99.70	0	0.00	0	0.00	0	0.00	303	0.30
Cacnes	100000	99815	99.82	0	0.00	0	0.00	0	0.00	185	0.18
Cdiphtheriae	100000	99786	99.79	0	0.00	0	0.00	0	0.00	214	0.21

%Hit_no_genomes: 3.05
