#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Saureus	100000	4468	4.47	48465	48.47	38503	38.50	4161	4.16	4403	4.40
Ecoli	100000	99294	99.29	0	0.00	0	0.00	0	0.00	706	0.71
Vectors	100000	99185	99.20	63	0.06	4	0.00	364	0.36	384	0.38
Efaecium	100000	98997	99.00	0	0.00	0	0.00	0	0.00	1003	1.00
Sepidermidis	100000	90764	90.77	0	0.00	873	0.87	0	0.00	8363	8.36
EscerechiaPhage	100000	100000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Cperfringens	100000	99440	99.44	0	0.00	0	0.00	0	0.00	560	0.56
Smutans	100000	99230	99.23	0	0.00	0	0.00	0	0.00	770	0.77
Mluteus	100000	99735	99.73	0	0.00	0	0.00	0	0.00	265	0.27
Cacnes	100000	99837	99.84	0	0.00	0	0.00	0	0.00	163	0.16
Cdiphtheriae	100000	99807	99.81	0	0.00	0	0.00	0	0.00	193	0.19

%Hit_no_genomes: 3.00
