#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Saureus	100000	8031	8.03	43576	43.58	40993	40.99	3013	3.01	4387	4.39
Ecoli	100000	98835	98.83	0	0.00	0	0.00	0	0.00	1165	1.17
Vectors	100000	98645	98.64	103	0.10	8	0.01	477	0.48	767	0.77
Efaecium	100000	98945	98.95	0	0.00	1	0.00	0	0.00	1054	1.05
Sepidermidis	100000	92777	92.78	0	0.00	178	0.18	0	0.00	7045	7.04
EscerechiaPhage	100000	100000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Cperfringens	100000	99376	99.38	0	0.00	0	0.00	0	0.00	624	0.62
Smutans	100000	99184	99.18	0	0.00	0	0.00	0	0.00	816	0.82
Mluteus	100000	99698	99.70	0	0.00	0	0.00	0	0.00	302	0.30
Cacnes	100000	99823	99.83	0	0.00	2	0.00	0	0.00	175	0.17
Cdiphtheriae	100000	99793	99.79	0	0.00	0	0.00	0	0.00	207	0.21

%Hit_no_genomes: 6.81
