#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Saureus	20000	874	4.37	13419	67.09	4801	24.00	573	2.87	333	1.67
Ecoli	20000	19909	99.54	0	0.00	0	0.00	0	0.00	91	0.46
Vectors	20000	19880	99.40	4	0.02	2	0.01	45	0.23	69	0.34
Efaecium	20000	19932	99.66	0	0.00	0	0.00	0	0.00	68	0.34
Sepidermidis	20000	19142	95.71	0	0.00	7	0.04	0	0.00	851	4.25
EscerechiaPhage	20000	20000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Cperfringens	20000	19955	99.77	0	0.00	0	0.00	0	0.00	45	0.23
Smutans	20000	19947	99.73	0	0.00	0	0.00	0	0.00	53	0.27
Mluteus	20000	19984	99.92	0	0.00	0	0.00	0	0.00	16	0.08
Cacnes	20000	19991	99.96	0	0.00	0	0.00	0	0.00	9	0.04
Cdiphtheriae	20000	19985	99.93	0	0.00	0	0.00	0	0.00	15	0.07

%Hit_no_genomes: 3.94
