#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Saureus	100000	17014	17.01	43813	43.81	33889	33.89	2576	2.58	2708	2.71
Ecoli	100000	99555	99.55	0	0.00	0	0.00	0	0.00	445	0.45
Vectors	100000	99492	99.50	15	0.01	23	0.02	169	0.17	301	0.30
Efaecium	100000	99379	99.37	0	0.00	5	0.01	0	0.00	616	0.62
Sepidermidis	100000	94265	94.26	0	0.00	636	0.64	0	0.00	5099	5.10
EscerechiaPhage	100000	100000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Cperfringens	100000	99655	99.65	0	0.00	5	0.01	0	0.00	340	0.34
Smutans	100000	99510	99.51	0	0.00	6	0.01	0	0.00	484	0.48
Mluteus	100000	99835	99.83	0	0.00	0	0.00	0	0.00	165	0.17
Cacnes	100000	99897	99.90	0	0.00	0	0.00	0	0.00	103	0.10
Cdiphtheriae	100000	99883	99.88	0	0.00	0	0.00	0	0.00	117	0.12

%Hit_no_genomes: 15.97
