#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Saureus	100000	4976	4.98	52270	52.27	36791	36.79	3104	3.10	2859	2.86
Ecoli	100000	99494	99.49	0	0.00	0	0.00	0	0.00	506	0.51
Vectors	100000	99393	99.40	10	0.01	0	0.00	204	0.20	393	0.39
Efaecium	100000	99411	99.41	0	0.00	0	0.00	0	0.00	589	0.59
Sepidermidis	100000	94342	94.35	0	0.00	15	0.01	0	0.00	5643	5.64
EscerechiaPhage	100000	100000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Cperfringens	100000	99684	99.68	0	0.00	0	0.00	0	0.00	316	0.32
Smutans	100000	99531	99.53	0	0.00	0	0.00	0	0.00	469	0.47
Mluteus	100000	99838	99.84	0	0.00	0	0.00	0	0.00	162	0.16
Cacnes	100000	99907	99.91	0	0.00	0	0.00	0	0.00	93	0.09
Cdiphtheriae	100000	99897	99.90	0	0.00	0	0.00	0	0.00	103	0.10

%Hit_no_genomes: 4.60
